state.vEgoRaw,state.steeringAngleDeg,state.steeringPressed,actuators.enabled,actuators.rampType,actuators.precision,actuators.curvature,actuators.pathOffset,actuators.pathAngle,vehicleModel.actualCurvature
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
0.0,2.0,False,False,2.0,0.0,0.0,0.0,0.0,-0.0009362316436058357
